Component,Department,Name,Title,Email,Street Address 1,Street Address 2,City,State,Zip code,Telephone,Fax
Office of Surface Mining Reclamation and Enforcement,Department of the Interior,Julie A. Moore,Acting FOIA Officer,,"Julie Moore, Acting FOIA Officer","OSMRE, Three Parkway Center",Pittsburgh,PA,15220,(412) 552-9440,(412) 937-2177
Office of the Secretary,Department of the Interior,,,,"Leah Fairman, FOIA Officer","1849 C Street, NW, MS-7328, MIB",Washington,DC,20240,(202) 513-0765,202-219-2374
Office of the Secretary,Department of the Interior,Elisabeth W. McCarty,Public Liaison,DOIFOIAPublicLiaison@sol.doi.gov,"Leah Fairman, FOIA Officer","1849 C Street, NW, MS-7328, MIB",Washington,DC,20240,(888) 603-7119,202-219-2374
Office of the Secretary,Department of the Interior,Leah Fairman,FOIA Officer,osfoia@ios.doi.gov,"Leah Fairman, FOIA Officer","1849 C Street, NW, MS-7328, MIB",Washington,DC,20240,(202) 513-0765,202-219-2374
Office of the Solicitor,Department of the Interior,,,,"Lance Purvis, FOIA Officer, MS-6540, MIB","1849 C Street, NW",Washington,DC,20240,202-208-5817,202-208-5206
Office of the Solicitor,Department of the Interior,Elisabeth W. McCarty,Public Liaison,DOIFOIAPublicLiaison@sol.doi.gov,"Lance Purvis, FOIA Officer, MS-6540, MIB","1849 C Street, NW",Washington,DC,20240,(888) 603-7119,202-208-5206
Office of the Solicitor,Department of the Interior,Lance Purvis,FOIA Officer,,"Lance Purvis, FOIA Officer, MS-6540, MIB","1849 C Street, NW",Washington,DC,20240,,202-208-5206
U.S. Fish and Wildlife Service,Department of the Interior,,,,"Ranita Jackson, FOIA Officer, MS: IRTM",5275 Leesburg Pike,Falls Church,VA,22041,(303) 275-2348,703-358-2251
U.S. Fish and Wildlife Service,Department of the Interior,Elisabeth W. McCarty,Public Liaison,DOIFOIAPublicLiaison@sol.doi.gov,"Ranita Jackson, FOIA Officer, MS: IRTM",5275 Leesburg Pike,Falls Church,VA,22041,(888) 603-7119,703-358-2251
U.S. Fish and Wildlife Service,Department of the Interior,Ranita Jackson,FOIA Officer,ranita_jackson@fws.gov,"Ranita Jackson, FOIA Officer, MS: IRTM",5275 Leesburg Pike,Falls Church,VA,22041,571-547-3153,703-358-2251
U.S. Geological Survey,Department of the Interior,,,,"Melanie Ruiz, FOIA Officer",P.O. Box 66783,Albuquerque,NM,87193,(571) 512-8459,703-648-4454
U.S. Geological Survey,Department of the Interior,Elisabeth W. McCarty,Public Liaison,DOIFOIAPublicLiaison@sol.doi.gov,"Melanie Ruiz, FOIA Officer",P.O. Box 66783,Albuquerque,NM,87193,(888) 603-7119,703-648-4454
U.S. Geological Survey,Department of the Interior,Melanie Ruiz,FOIA Officer,,"Melanie Ruiz, FOIA Officer",P.O. Box 66783,Albuquerque,NM,87193,(571) 512-8459,703-648-4454
Alcohol and Tobacco Tax and Trade Bureau,Department of the Treasury,,,,"Quinton Mason, FOIA Contact, Disclosure Services, Box 12","1310 G Street, NW",Washington,DC,20005,202-882-9904,202-453-2331
Alcohol and Tobacco Tax and Trade Bureau,Department of the Treasury,Mark Bittner ,"Director, FOIA & Transparency",foiapl@treasury.gov,"Quinton Mason, FOIA Contact, Disclosure Services, Box 12","1310 G Street, NW",Washington,DC,20005,202-622-8098,202-453-2331
Bureau of Engraving and Printing,Department of the Treasury,Disclosure Officer,FOIA Contact,,"14th & C Streets, SW Room 419A",,Washington,DC,20228,(202) 874-2500 ,202-874-2951
Bureau of Engraving and Printing,Department of the Treasury,Mark Bittner ,"Director, FOIA & Transparency",foiapl@treasury.gov,"14th & C Streets, SW Room 419A",,Washington,DC,20228,202-622-8098,202-874-2951
Bureau of the Fiscal Service,Department of the Treasury,,,,Attn: FOIA Disclosure Office/Room 508B,"3201 Pennsy Drive, Building E.",Landover ,MD,20785,202-874-5602,202-874-5484
Bureau of the Fiscal Service,Department of the Treasury,Cynthia Sydnor-Jones,Co-Disclosure Officer,,Attn: FOIA Disclosure Office/Room 508B,"3201 Pennsy Drive, Building E.",Landover ,MD,20785,,202-874-5484
Bureau of the Fiscal Service,Department of the Treasury,Mark Bittner ,"Director, FOIA & Transparency",foiapl@treasury.gov,Attn: FOIA Disclosure Office/Room 508B,"3201 Pennsy Drive, Building E.",Landover ,MD,20785,202-622-8098,202-874-5484
Departmental Offices,Department of the Treasury,,,,"Mark Bittner, Director, FOIA & Transparency","1500  Pennsylvania Ave., N.W.",Washington,DC,20220,202-622-0930,202-622-3895
Departmental Offices,Department of the Treasury,Mark Bittner ,"Director, FOIA & Transparency",foiapl@treasury.gov,"Mark Bittner, Director, FOIA & Transparency","1500  Pennsylvania Ave., N.W.",Washington,DC,20220,202-622-8098,202-622-3895
Financial Crimes Enforcement Network,Department of the Treasury,,,,"Terri Robertson, Disclosure (FOIA) Office",P.O. Box 39,Vienna,VA,22183,703-905-5034,
Financial Crimes Enforcement Network,Department of the Treasury,Mark Bittner ,"Director, FOIA & Transparency",foiapl@treasury.gov,"Terri Robertson, Disclosure (FOIA) Office",P.O. Box 39,Vienna,VA,22183,202-622-8098,
Internal Revenue Service - Headquarters Office,Department of the Treasury,FOIA Public Liaison Line,,,"Internal Revenue Service, GLDS Support Services Stop 211",P.O. Box 621506,Atlanta,GA,30362-3006,312-292-2929,877-807-9215
Internal Revenue Service - Headquarters Office,Department of the Treasury,FOIA Requester Service Center Line,,,"Internal Revenue Service, GLDS Support Services Stop 211",P.O. Box 621506,Atlanta,GA,30362-3006,312-292-2929,877-807-9215
Office of the Comptroller of the Currency,Department of the Treasury,,,,"Frank Vance, Freedom of Information Act Officer, Suite 3-E218","400 7th Street, SW",Washington,DC,20219,202-649-6700,
Office of the Comptroller of the Currency,Department of the Treasury,Frank Vance,,,"Frank Vance, Freedom of Information Act Officer, Suite 3-E218","400 7th Street, SW",Washington,DC,20219,202-649-6758,
Treasury Inspector General for Tax Administration,Department of the Treasury,,,,Office of Chief Counsel Disclosure Branch,"Treasury Inspector General for Tax Administration (TIGTA) 901 D. Street, SW, Suite 600",Washington,DC,20024,202-622-4068,202-622-3339
Treasury Inspector General for Tax Administration,Department of the Treasury,Amy P. Jones,,,Office of Chief Counsel Disclosure Branch,"Treasury Inspector General for Tax Administration (TIGTA) 901 D. Street, SW, Suite 600",Washington,DC,20024,202-622-4068,202-622-3339
United States Mint,Department of the Treasury,,,,"Lateau Jones, FOIA Contact, 8th Floor","801 9th Street, NW",Washington,DC,20220,202-354-7600,202-756-6153
United States Mint,Department of the Treasury,Mark Bittner ,"Director, FOIA & Transparency",foiapl@treasury.gov,"Lateau Jones, FOIA Contact, 8th Floor","801 9th Street, NW",Washington,DC,20220,202-622-8098,202-756-6153
Federal Aviation Administration,Department of Transportation,Adrianne C. Blake,"Manager, Disclosure & Appeals, AFN-420",adrianne.c.blake@faa.gov,"Sherlia Hawkins, FOIA Officer/FOIA Program Manager, AFN-400","800 Independence Avenue, SW",Washington,DC,20591,202-267-3593,202-493-5032
Federal Aviation Administration,Department of Transportation,Sheree Deberry,"Manager, Intake & Assignments, AFN-410",sheree.l.deberry@faa.gov,"Sherlia Hawkins, FOIA Officer/FOIA Program Manager, AFN-400","800 Independence Avenue, SW",Washington,DC,20591,202-267-8492,202-493-5032
Federal Highway Administration,Department of Transportation,,,,HQ: Federal Highway Administration  Attn: FOIA Officer,"1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-0948,202-366-3705
Federal Highway Administration,Department of Transportation,Brian Brotsos,FOIA Officer,foia.officer@dot.gov,HQ: Federal Highway Administration  Attn: FOIA Officer,"1200 New Jersey Avenue, SE",Washington,DC,20590,(202) 366-9013,202-366-3705
Federal Highway Administration,Department of Transportation,Grace Reidy,Public Liaison,FOIA.PublicLiaison@dot.gov,HQ: Federal Highway Administration  Attn: FOIA Officer,"1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-9631,202-366-3705
Federal Motor Carrier Safety Administration,Department of Transportation,,,,"Jennifer Weatherly, FOIA/PA Contact (MC-MMI), W64-304","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-2960,202-385-2335
Federal Motor Carrier Safety Administration,Department of Transportation,Cicely Waters,Public Liaison,cicely.waters@dot.gov,"Jennifer Weatherly, FOIA/PA Contact (MC-MMI), W64-304","1200 New Jersey Avenue, SE",Washington,DC,20590,202-893-0093,202-385-2335
Federal Railroad Administration,Department of Transportation,,,,"William Brown, FOIA/PA Contact, Stop 10","1200 New Jersey Avenue, SE",Washington,DC,20590,202-493-6065,202-493-6068
Federal Railroad Administration,Department of Transportation,William Wong,Public Liaison,william.wong1@dot.gov,"William Brown, FOIA/PA Contact, Stop 10","1200 New Jersey Avenue, SE",Washington,DC,20590,,202-493-6068
Federal Transit Administration,Department of Transportation,,,,"Nancy Sipes, FOIA/PA Contact, E42-315","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-2494,202-366-7164
Federal Transit Administration,Department of Transportation,Paul Kincaid,,paul.kincaid@dot.gov,"Nancy Sipes, FOIA/PA Contact, E42-315","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-4043,202-366-7164
Great Lakes St. Lawrence Seaway Development Corporation,Department of Transportation,,,,"Christina A. Weddle, FOIA/Privacy Act Contact","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-6510,202-366-6448
Great Lakes St. Lawrence Seaway Development Corporation,Department of Transportation,Christina A. Weddle,FOIA/Privacy Act Contact,christina.weddle@dot.gov,"Christina A. Weddle, FOIA/Privacy Act Contact","1200 New Jersey Avenue, SE",Washington,DC,20590,(202) 366-8982,202-366-6448
Great Lakes St. Lawrence Seaway Development Corporation,Department of Transportation,Fern Kaufman,,,"Christina A. Weddle, FOIA/Privacy Act Contact","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-8067,202-366-6448
Maritime Administration,Department of Transportation,,,,"T. Mitchell Hudson, Jr., FOIA Officer, Division of Legislation and Regulations, W24-220","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-2666,202-366-7485
Maritime Administration,Department of Transportation,Ann Herchenrider,,,"T. Mitchell Hudson, Jr., FOIA Officer, Division of Legislation and Regulations, W24-220","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-5165,202-366-7485
Maritime Administration,Department of Transportation,"T. Mitchell Hudson, Jr.",,,"T. Mitchell Hudson, Jr., FOIA Officer, Division of Legislation and Regulations, W24-220","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-5320,202-366-7485
National Highway Traffic Safety Administration,Department of Transportation,,,,"FOIA Contact, NHTSA Executive Secretariat, W41-304","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-1834,202-493-2929
National Highway Traffic Safety Administration,Department of Transportation,Sean Clayton,FOIA Public Liaison,sean.clayton@dot.gov,"FOIA Contact, NHTSA Executive Secretariat, W41-304","1200 New Jersey Avenue, SE",Washington,DC,20590,(202) 366-7632,202-493-2929
Office of Inspector General,Department of Transportation,Catherine Bell,Attorney Advisor/FOIA Officer,oigfoia1@oig.dot.gov,"FOIA Officer, 7th Floor","1200 New Jersey Avenue, SE",Washington,DC,20590,(202) 366-1406,
Office of Inspector General,Department of Transportation,Marie Miller,FOIA Public Liaison ,marie.miller@oig.dot.gov,"FOIA Officer, 7th Floor","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-7165,
Office of Inspector General,Department of Transportation,Vacant,FOIA Requester Service Center,,"FOIA Officer, 7th Floor","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-6131,
Office of the Secretary,Department of Transportation,,,,"Michael Bell, FOIA Officer, W94-122","1200 New Jersey Avenue, SE",Washington,DC,20590,,202-366-8536
Office of the Secretary,Department of Transportation,Darlene Wallace,,,"Michael Bell, FOIA Officer, W94-122","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-4542,202-366-8536
Office of the Secretary,Department of Transportation,Fern Kaufman,,,"Michael Bell, FOIA Officer, W94-122","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-8067,202-366-8536
Office of the Secretary,Department of Transportation,Michael Bell,FOIA Officer,,"Michael Bell, FOIA Officer, W94-122","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-5546,202-366-8536
Pipeline and Hazardous Materials Safety Administration,Department of Transportation,,,,"Dele Awoniyi, FOIA Officer, E23-306","1200 New Jersey Avenue, SE",Washington,DC,20590,202-366-4400,202-336-7041
Pipeline and Hazardous Materials Safety Administration,Department of Transportation,Darius Kirkwood,,,"Dele Awoniyi, FOIA Officer, E23-306","1200 New Jersey Avenue, SE",Washington,DC,20590,202-493-0471,202-336-7041
Pipeline and Hazardous Materials Safety Administration,Department of Transportation,Dele Awoniyi,FOIA Officer,PHMSA.FOIA@dot.gov,"Dele Awoniyi, FOIA Officer, E23-306","1200 New Jersey Avenue, SE",Washington,DC,20590,(202) 366-4400,202-336-7041
Board of Veterans Appeals,Department of Veterans Affairs,,,,Department of Veterans Affairs (01C1) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,202-461-8111,202-495-6803
Board of Veterans Appeals,Department of Veterans Affairs,Darryl Webb,FOIA Public Liaison,FOIAHelp@va.gov,Department of Veterans Affairs (01C1) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,202 738-2974,202-495-6803
Board of Veterans Appeals,Department of Veterans Affairs,Kary Charlebois,BVA FOIA Officer,BVAFOIA-PrivacyRequests@va.gov,Department of Veterans Affairs (01C1) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,,202-495-6803
National Cemetery Administration,Department of Veterans Affairs,,,,"Department of Veterans Affairs, (43D) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-461-6214,202-501-2240
National Cemetery Administration,Department of Veterans Affairs,Nikki Benns,FOIA Officer,cemncafoia@va.gov,"Department of Veterans Affairs, (43D) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202 948-6706,202-501-2240
Office of Accountability & Whistleblower Protection,Department of Veterans Affairs,Tanya Guimont,FOIA Officer,oawpfoiarequests@va.gov,"810 Vermont Avenue, NW",(70A) VACO,Washington,DC,20420,202-461-4214,
Office of Acquisition and Logistics,Department of Veterans Affairs,,,,"FOIA Officer, Office of Acquisition and Logistics (OAL), Room 3E.405","425 I Street, NW",Washington,DC,20001,,708-786-5148
Office of Acquisition and Logistics,Department of Veterans Affairs,,,,"FOIA Officer, Office of Acquisition and Logistics (OAL), Room 3E.405","425 I Street, NW",Washington,DC,20001,202-632-5286,708-786-5148
Office of Acquisition and Logistics,Department of Veterans Affairs,Darryl Webb,FOIA Public Liaison,FOIAHelp@va.gov,"FOIA Officer, Office of Acquisition and Logistics (OAL), Room 3E.405","425 I Street, NW",Washington,DC,20001,202 738-2974,708-786-5148
Office of Acquisition and Logistics,Department of Veterans Affairs,Kristen Ellis,OAL FOIA Officer,NACFOIA@va.gov,"FOIA Officer, Office of Acquisition and Logistics (OAL), Room 3E.405","425 I Street, NW",Washington,DC,20001,708-786-7804,708-786-5148
Office of Assistant Secretary for Congressional and Legislative Affairs,Department of Veterans Affairs,,,,Department of Veterans Affairs (009) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,202-461-6619,202-273-6792
Office of Assistant Secretary for Congressional and Legislative Affairs,Department of Veterans Affairs,Darryl Webb,FOIA Public Liaison,FOIAHelp@va.gov,Department of Veterans Affairs (009) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,202 738-2974,202-273-6792
Office of Assistant Secretary for Congressional and Legislative Affairs,Department of Veterans Affairs,Regina Mack-Abney,FOIA Officer,regina.mack-abney@va.gov,Department of Veterans Affairs (009) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,202 461-6459,202-273-6792
Office of Assistant Secretary for Human Resources and Administration,Department of Veterans Affairs,,,,Department of Veterans Affairs (006) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,877-750-3642,202-274-4914
Office of Assistant Secretary for Human Resources and Administration,Department of Veterans Affairs,,,,Department of Veterans Affairs (006) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,202-632-7310,202-274-4914
Office of Assistant Secretary for Human Resources and Administration,Department of Veterans Affairs,Cynthia Hunter,FOIA Officer,VACO006FOIA@va.gov,Department of Veterans Affairs (006) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,202-461-0734,202-274-4914
Office of Assistant Secretary for Management,Department of Veterans Affairs,,,,"Department of Veterans Affairs, (004A) VACO","810 Vermont Avenue, NW",Washington,DC,20420,877 750 3642,202-273-6892
Office of Assistant Secretary for Management,Department of Veterans Affairs,,,,"Department of Veterans Affairs, (004A) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-461-6677,202-273-6892
Office of Assistant Secretary for Management,Department of Veterans Affairs,Jackie Burton,FOIA Officer,jackie.burton@va.gov,"Department of Veterans Affairs, (004A) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202 461-6991,202-273-6892
Office of Assistant Secretary for Public and Intergovernmental Affairs,Department of Veterans Affairs,,,vacofoiaservice@va.gov,"Department of Veterans Affairs, (002B) VACO","810 Vermont Avenue, NW",Washington,DC,20420,877-750-3642,202-273-7635
Office of Assistant Secretary for Public and Intergovernmental Affairs,Department of Veterans Affairs,,,,"Department of Veterans Affairs, (002B) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-461-7442,202-273-7635
Office of Assistant Secretary for Public and Intergovernmental Affairs,Department of Veterans Affairs,Anita Major,FOIA Officer,anita.major@va.gov,"Department of Veterans Affairs, (002B) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202 461-7440,202-273-7635
Office of Chief Human Capitol Officer ,Department of Veterans Affairs,Erica Cabbagestalk,FOIA Officer,erica.cabbagestalk@va.gov,810 Vermont Ave NW,,Washington,DC,20420,202-461-7547,
Office of Construction & Facilities Management,Department of Veterans Affairs,,,,Department of Veterans Affairs (OOCM2) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,202-461-8212,202-632-5825
Office of Construction & Facilities Management,Department of Veterans Affairs,Darryl Webb,FOIA Public Liaison,FOIAHelp@va.gov,Department of Veterans Affairs (OOCM2) VACO,"810 Vermont Avenue, NW",Washington,DC,20420,202 73802974,202-632-5825
Office of Deputy Assistant Secretary for Administration,Department of Veterans Affairs,,,,"Department of Veterans Affairs, (032A) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-461-5046,202-273-7091
Office of Deputy Assistant Secretary for Administration,Department of Veterans Affairs,Kimberly Forte,FOIA Officer,,"Department of Veterans Affairs, (032A) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-461-5343,202-273-7091
Office of Deputy Assistant Secretary for Budget,Department of Veterans Affairs,,,,"ODASB FOIA Contact, (041) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-461-5170,202-273-6628
Office of Deputy Assistant Secretary for Budget,Department of Veterans Affairs,Jacqueline Culmer,FOIA Officer,jacqueline.culmer@va.gov,"ODASB FOIA Contact, (041) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-461-6631,202-273-6628
Office of Enterprise Integration,Department of Veterans Affairs,,,,"Department of Veterans Affairs (008) VACO, Room 314","810 Vermont Avenue, NW",Washington,DC,20420,202-461-5198,202-461-5326
Office of Enterprise Integration,Department of Veterans Affairs,Jennifer Jessup,FOIA Officer,,"Department of Veterans Affairs (008) VACO, Room 314","810 Vermont Avenue, NW",Washington,DC,20420,202-632-5246,202-461-5326
Office of Information and Technology - VA Central Office FOIA Service,Department of Veterans Affairs,,FOIA Public Liaison,vacofoiaservice@va.gov,"Department of Veterans Affairs, (005R1C) VACO","810 Vermont Avenue, NW",Washington,DC,20420,877-750-3642,202-632-7581
Office of Information and Technology - VA Central Office FOIA Service,Department of Veterans Affairs,,,,"Department of Veterans Affairs, (005R1C) VACO","810 Vermont Avenue, NW",Washington,DC,20420,877-750-3642,202-632-7581
Office of Information and Technology - VA Central Office FOIA Service,Department of Veterans Affairs,Darryl Webb,FOIA Officer,vacofoiaservice@va.gov,"Department of Veterans Affairs, (005R1C) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-738-2974,202-632-7581
Office of Inspector General,Department of Veterans Affairs,,,,Department of Veterans Affairs,"810 Vermont Avenue, NW (50CI)",Washington,DC,20420,202-461-4591,202-495-5859
Office of Inspector General,Department of Veterans Affairs,Ruthlee Gowins-Bellamy,FOIA Officer,vaoigfoia-pa@va.gov,Department of Veterans Affairs,"810 Vermont Avenue, NW (50CI)",Washington,DC,20420,202-461-4412,202-495-5859
Office of Resolution Management and Diversity Inclusion,Department of Veterans Affairs,Madeline Stephens,FOIA Officer,ormfoia@va.gov,"810 Vermont Avenue, NW",(08) VACO ,Washington,DC,20420,727-295-9139,
Office of Small and Disadvantaged Business Utilization,Department of Veterans Affairs,,,,"Department of Veterans Affairs, (00SB) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-303-3260 x5429,202-461-4301
Office of Small and Disadvantaged Business Utilization,Department of Veterans Affairs,,,,"Department of Veterans Affairs, (00SB) VACO","810 Vermont Avenue, NW",Washington,DC,20420,,202-461-4301
Office of Small and Disadvantaged Business Utilization,Department of Veterans Affairs,Darryl Webb,FOIA Public Liaison,FOIAHelp@va.gov,"Department of Veterans Affairs, (00SB) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202 738-2974,202-461-4301
Office of Small and Disadvantaged Business Utilization,Department of Veterans Affairs,Tyrone Brown,FOIA Officer,osdbufoia@va.gov,"Department of Veterans Affairs, (00SB) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202 632-8204,202-461-4301
"Office of the Assistant Secretary for Operations, Security, and Preparedness",Department of Veterans Affairs,,,,"Department of Veterans Affairs, (007) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-461-6587,202-461-0963
"Office of the Assistant Secretary for Operations, Security, and Preparedness",Department of Veterans Affairs,Sylvia Dunn,FOIA Officer,vacoospfoia@va.gov,"Department of Veterans Affairs, (007) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-461-4984,202-461-0963
Office of the Executive Secretary,Department of Veterans Affairs,,Veterans Affairs Public Liason,VACOFOIAService@va.gov,"Department of Veterans Affairs, 002B VACO","810 Vermont Avenue, NW",Washington,DC,20420,877 750-3642,202-273-4880
Office of the Executive Secretary,Department of Veterans Affairs,,,,"Department of Veterans Affairs, 002B VACO","810 Vermont Avenue, NW",Washington,DC,20420,877 750-3642,202-273-4880
Office of the Executive Secretary,Department of Veterans Affairs,Regina Olanegan,FOIA Officer,OSVAFOIA@va.gob,"Department of Veterans Affairs, 002B VACO","810 Vermont Avenue, NW",Washington,DC,20420,202 374-2061,202-273-4880
Office of the Executive Secretary,Department of Veterans Affairs,Richard Ha,FOIA Officer,OSVAFOIA@va.gov,"Department of Veterans Affairs, 002B VACO","810 Vermont Avenue, NW",Washington,DC,20420,202 632-5286,202-273-4880
Office of the General Counsel,Department of Veterans Affairs,,,,"Gregory Draves, FOIA Contact, (026H) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-461-7717,202-273-9299
Office of the General Counsel,Department of Veterans Affairs,Darryl Webb,FOIA Public Liaison,FOIAHelp@va.gov,"Gregory Draves, FOIA Contact, (026H) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202 738-2974,202-273-9299
Veterans Benefits Administration,Department of Veterans Affairs,,,,"Department of Veterans Affairs, (20M33) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202-491-9439,202-635-8925
Veterans Benefits Administration,Department of Veterans Affairs,Angela C. Davis,FOIA Officer,foia.vbaco@va.gov,"Department of Veterans Affairs, (20M33) VACO","810 Vermont Avenue, NW",Washington,DC,20420,202 461-9516,202-635-8925
Veterans Experience Office,Department of Veterans Affairs,Richard Ivy,FOIA Officer,VEOFOIAOfficer@va.gov,810 Vermont Ave NW,,Washington,DC,20240,314-737-1442,
Veterans Health Administration,Department of Veterans Affairs,VHA FOIA Public Liaison,,vhafoiahelp@va.gov,Department of Veterans Affairs  ,"VHA FOIA Office (105HIG), 810 Vermont Ave NW",Washington,DC,20420,833 880-8500,202-273-9386
Headquarters,Environmental Protection Agency,,,," National FOIA Office, Office of General Counsel, US Environmental Protection Agency","1200 Pennsylvania Avenue, NW, Mail Code 2310A",Washington,DC,20460,202-566-1667,
Headquarters,Environmental Protection Agency,Dimple Chaudhary,Acting General Counsel/Chief FOIA Officer,," National FOIA Office, Office of General Counsel, US Environmental Protection Agency","1200 Pennsylvania Avenue, NW, Mail Code 2310A",Washington,DC,20460,,
Headquarters,Environmental Protection Agency,"Timothy R. Epp, Associate General Counsel",,hq.foia@epa.gov," National FOIA Office, Office of General Counsel, US Environmental Protection Agency","1200 Pennsylvania Avenue, NW, Mail Code 2310A",Washington,DC,20460,202-566-1667,
Atlanta District Office (Savannah Local Office),Equal Employment Opportunity Commission,,,FOIA@eeoc.gov,"Marcia Haymer, Records Disclosure Coordinator","100 Alabama Street, SW",Atlanta,GA,30303,"1-877-869-1802, 202-663-7026 (TTY)",404-562-6909
Atlanta District Office (Savannah Local Office),Equal Employment Opportunity Commission,Marcia Haymer,Records Disclosure Coordinator,ATLAFOIA@eeoc.gov,"Marcia Haymer, Records Disclosure Coordinator","100 Alabama Street, SW",Atlanta,GA,30303,404-562-6909,404-562-6909
Birmingham District Office (Mobile Local Office; Jackson Area Office),Equal Employment Opportunity Commission,,,FOIA@eeoc.gov,"Alicia Vickers, Records Disclosure Coordinator","1130 22nd Street, Ridge Park Place, Suite 2000",Birmingham,AL,35205,"1-877-869-1802, 202-663-7026 (TTY)",205-212-2105
Birmingham District Office (Mobile Local Office; Jackson Area Office),Equal Employment Opportunity Commission,Alicia Vickers ,Records Disclosure Coordinator,BIRMFOIA@eeoc.gov,"Alicia Vickers, Records Disclosure Coordinator","1130 22nd Street, Ridge Park Place, Suite 2000",Birmingham,AL,35205,205-651-7024,205-212-2105
"Charlotte District Office (Greensboro, Greenville, Norfolk, Richmond Local Offices; Raleigh Area Office)",Equal Employment Opportunity Commission,,,FOIA@eeoc.gov,"Francine Michaelson, Records Disclosure Coordinator  ","129 West Trade Street, Suite 400",Charlotte,NC,28202,"1-877-869-1802 , 202-663-7026 TTY",704-344-6734
"Charlotte District Office (Greensboro, Greenville, Norfolk, Richmond Local Offices; Raleigh Area Office)",Equal Employment Opportunity Commission,Francine Michaelson,Records Disclosure Coordinator,CHARFOIA@eeoc.gov,"Francine Michaelson, Records Disclosure Coordinator  ","129 West Trade Street, Suite 400",Charlotte,NC,28202,980-296-1260,704-344-6734
Chicago District Office (Milwaukee and Minneapolis Area Offices),Equal Employment Opportunity Commission,,,FOIA@eeoc.gov,"Shernice Pierce, Records Disclosure Coordinator","JCK Federal Bldg., 230 S. Dearborn Street",Chicago,IL,60604,"1-877-869-1802, 202-663-7026 (TTY)",312-588-1260
Chicago District Office (Milwaukee and Minneapolis Area Offices),Equal Employment Opportunity Commission,Janice Abosi (Milwaukee & Minneapolis),,MILWFOIA@eeoc.gov,"Shernice Pierce, Records Disclosure Coordinator","JCK Federal Bldg., 230 S. Dearborn Street",Chicago,IL,60604,(915) 995-8851,312-588-1260
Chicago District Office (Milwaukee and Minneapolis Area Offices),Equal Employment Opportunity Commission,Shernice Pierce (Chicago),Records Disclosure Coordinator,CHICFOIA@eeoc.gov,"Shernice Pierce, Records Disclosure Coordinator","JCK Federal Bldg., 230 S. Dearborn Street",Chicago,IL,60604,(414) 662-3707,312-588-1260
Dallas District Office (San Antonio Field Office; El Paso Area Office),Equal Employment Opportunity Commission,,,FOIA@eeoc.gov,"Rasheedah McDonald & Nadetia Williams, Records Disclosure Coordinators","207 S. Houston Street, 3rd Floor",Dallas,TX,75202-4726,"1-877-869-1802, 202-663-7026 (TTY)",214-253-2749 (Dallas) 210-281-7690/2552 (San Antonio)
